@00000000	0000
@00000001	0003
@00000002	0006
@00000003	0009
@00000004	000D
@00000005	0010
@00000006	0013
@00000007	0016
@00000008	0019
@00000009	001C
@0000000A	001F
@0000000B	0023
@0000000C	0026
@0000000D	0029
@0000000E	002C
@0000000F	002F
@00000010	0032
@00000011	0035
@00000012	0039
@00000013	003C
@00000014	003F
@00000015	0042
@00000016	0045
@00000017	0048
@00000018	004B
@00000019	004F
@0000001A	0052
@0000001B	0055
@0000001C	0058
@0000001D	005B
@0000001E	005E
@0000001F	0061
@00000020	0065
@00000021	0068
@00000022	006B
@00000023	006E
@00000024	0071
@00000025	0074
@00000026	0077
@00000027	007B
@00000028	007E
@00000029	0081
@0000002A	0084
@0000002B	0087
@0000002C	008A
@0000002D	008D
@0000002E	0091
@0000002F	0094
@00000030	0097
@00000031	009A
@00000032	009D
@00000033	00A0
@00000034	00A3
@00000035	00A6
@00000036	00AA
@00000037	00AD
@00000038	00B0
@00000039	00B3
@0000003A	00B6
@0000003B	00B9
@0000003C	00BC
@0000003D	00C0
@0000003E	00C3
@0000003F	00C6
@00000040	00C9
@00000041	00CC
@00000042	00CF
@00000043	00D2
@00000044	00D6
@00000045	00D9
@00000046	00DC
@00000047	00DF
@00000048	00E2
@00000049	00E5
@0000004A	00E8
@0000004B	00EC
@0000004C	00EF
@0000004D	00F2
@0000004E	00F5
@0000004F	00F8
@00000050	00FB
@00000051	00FE
@00000052	0102
@00000053	0105
@00000054	0108
@00000055	010B
@00000056	010E
@00000057	0111
@00000058	0114
@00000059	0118
@0000005A	011B
@0000005B	011E
@0000005C	0121
@0000005D	0124
@0000005E	0127
@0000005F	012A
@00000060	012E
@00000061	0131
@00000062	0134
@00000063	0137
@00000064	013A
@00000065	013D
@00000066	0140
@00000067	0144
@00000068	0147
@00000069	014A
@0000006A	014D
@0000006B	0150
@0000006C	0153
@0000006D	0156
@0000006E	015A
@0000006F	015D
@00000070	0160
@00000071	0163
@00000072	0166
@00000073	0169
@00000074	016C
@00000075	0170
@00000076	0173
@00000077	0176
@00000078	0179
@00000079	017C
@0000007A	017F
@0000007B	0182
@0000007C	0186
@0000007D	0189
@0000007E	018C
@0000007F	018F
@00000080	0192
@00000081	0195
@00000082	0198
@00000083	019C
@00000084	019F
@00000085	01A2
@00000086	01A5
@00000087	01A8
@00000088	01AB
@00000089	01AE
@0000008A	01B2
@0000008B	01B5
@0000008C	01B8
@0000008D	01BB
@0000008E	01BE
@0000008F	01C1
@00000090	01C4
@00000091	01C8
@00000092	01CB
@00000093	01CE
@00000094	01D1
@00000095	01D4
@00000096	01D7
@00000097	01DA
@00000098	01DD
@00000099	01E1
@0000009A	01E4
@0000009B	01E7
@0000009C	01EA
@0000009D	01ED
@0000009E	01F0
@0000009F	01F3
@000000A0	01F7
@000000A1	01FA
@000000A2	01FD
@000000A3	0200
@000000A4	0203
@000000A5	0206
@000000A6	0209
@000000A7	020D
@000000A8	0210
@000000A9	0213
@000000AA	0216
@000000AB	0219
@000000AC	021C
@000000AD	021F
@000000AE	0223
@000000AF	0226
@000000B0	0229
@000000B1	022C
@000000B2	022F
@000000B3	0232
@000000B4	0235
@000000B5	0239
@000000B6	023C
@000000B7	023F
@000000B8	0242
@000000B9	0245
@000000BA	0248
@000000BB	024B
@000000BC	024F
@000000BD	0252
@000000BE	0255
@000000BF	0258
@000000C0	025B
@000000C1	025E
@000000C2	0261
@000000C3	0265
@000000C4	0268
@000000C5	026B
@000000C6	026E
@000000C7	0271
@000000C8	0274
@000000C9	0277
@000000CA	027B
@000000CB	027E
@000000CC	0281
@000000CD	0284
@000000CE	0287
@000000CF	028A
@000000D0	028D
@000000D1	0291
@000000D2	0294
@000000D3	0297
@000000D4	029A
@000000D5	029D
@000000D6	02A0
@000000D7	02A3
@000000D8	02A7
@000000D9	02AA
@000000DA	02AD
@000000DB	02B0
@000000DC	02B3
@000000DD	02B6
@000000DE	02B9
@000000DF	02BD
@000000E0	02C0
@000000E1	02C3
@000000E2	02C6
@000000E3	02C9
@000000E4	02CC
@000000E5	02CF
@000000E6	02D2
@000000E7	02D6
